region_code,region_name,nb_arrondissements,nb_cantons,nb_communes,population_municipale,population_totale
84,Auvergne-Rhône-Alpes,39,241.0,4028,8114361,8284162
27,Bourgogne-Franche-Comté,24,152.0,3699,2800194,2872386
53,Bretagne,15,102.0,1207,3394567,3482543
24,Centre-Val de Loire,20,102.0,1757,2573303,2630743
94,Corse,5,26.0,360,347597,352559
44,Grand Est,38,200.0,5119,5561287,5665457
1,Guadeloupe,2,21.0,32,384315,389277
3,Guyane,3,,22,286618,288739
32,Hauts-de-France,26,145.0,3787,5995292,6085665
4,La Réunion,4,25.0,24,871157,880875
2,Martinique,4,,34,360749,364916
28,Normandie,17,131.0,2651,3327966,3398102
75,Nouvelle-Aquitaine,41,258.0,4308,6069352,6206404
76,Occitanie,36,249.0,4453,6022176,6144768
52,Pays de la Loire,16,107.0,1233,3853999,3944100
93,Provence-Alpes-Côte d'Azur,18,126.0,946,5127840,5201894
11,Île-de-France,25,155.0,1268,12317279,12427975
